CNPJ_Fundo;Data_Referencia;Versao;Classe;Nome_Endereco_Imovel;Justificativa_Evolucao_Inferior_Previsto;Justificativa_Custo_Superior_Previsto
01.235.622/0001-61;2020-03-31;1;Imóveis para renda em construção;N/A;N/A;N/A
01.235.622/0001-61;2020-03-31;1;Imóveis para venda em construção;Aretê - Toriba 1;N/A;N/A
01.235.622/0001-61;2020-03-31;1;Imóveis para venda em construção;Tijuca All Ways;N/A;N/A
01.235.622/0001-61;2020-03-31;1;Imóveis para venda em construção;Hub - Coliving;Atraso no início das obras em função de arqueologia.;Desembolso inferior em função do menor andamento físico.
01.235.622/0001-61;2020-03-31;1;Imóveis para venda em construção;Costa Mare;N/A;N/A
01.235.622/0001-61;2020-03-31;1;Imóveis para venda em construção;The Gallery;Diferença pequena relativa a replanejamento de atividades.;N/A
01.235.622/0001-61;2020-03-31;1;Imóveis para venda em construção;Highlight e Spotlight - Jardim Botafogo;N/A;Solução de contenções gerou economia na obra.
01.235.622/0001-61;2020-03-31;1;Imóveis para venda em construção;Aretê - Peninsula Norte;N/A;N/A
01.235.622/0001-61;2020-03-31;1;Imóveis para venda em construção;Iluminato;Atraso no desmonte de rocha.;Atraso nas contenções e desmonte de rocha.
01.235.622/0001-61;2020-03-31;1;Imóveis para venda em construção;Maison Laranjeiras;Pequeno atraso na concretagem dos blocos.;N/A
01.235.622/0001-61;2020-03-31;1;Imóveis para venda em construção;Icono Parque;Atraso na fase de fundações e na evolução dos serviços de acabamento.;Desembolso inferior em função do menor andamento físico.
01.235.622/0001-61;2020-03-31;1;Imóveis para venda em construção;Highline;Atraso devido às alterações na torre comercial por solicitações do proprietário e refazimento da laje do 23 andar da Torre 2.;Valor gasto maior devido a aumento de preço do aço e alguns ajustes de produto.
01.235.622/0001-61;2020-09-30;2;Imóveis para venda em construção;Aretê - Peninsula Norte;Atrasos pontuais nas obras de infra-estrutura.;N.A.
01.235.622/0001-61;2020-09-30;2;Imóveis para venda em construção;Costa Mare;Obra foi replanejada e teve o prazo prorrogado por estratégia comercial.;N.A.
01.235.622/0001-61;2020-09-30;2;Imóveis para venda em construção;The Gallery;Atraso na contratação de alguns serviços.;Aumento expressivo nos valores de alguns materiais.
01.235.622/0001-61;2020-09-30;2;Imóveis para venda em construção;Hub - Coliving;Atraso na finalização de algumas atividades.;N.A.
01.235.622/0001-61;2020-09-30;2;Imóveis para venda em construção;Iluminato;Atraso em função do COVID-19 que interrompeu o desmonte de rocha. Zona altamente residencial.;Obra paralisada.
01.235.622/0001-61;2020-09-30;2;Imóveis para venda em construção;Icono Parque;Atraso na contratação de alguns serviços.;N.A.
01.235.622/0001-61;2020-09-30;2;Imóveis para venda em construção;Highlight e Spotlight - Jardim Botafogo;Atraso na execução de algumas atividades, e imprevistos em mobilização de equipamentos.;N.A.
01.235.622/0001-61;2020-09-30;2;Imóveis para venda em construção;Highline;Atraso em função do COVID-19.;Ocorreram modificações de projetos e reajustes além do esperado em alguns materiais. 
01.235.622/0001-61;2020-09-30;2;Imóveis para renda em construção;N/A;N/A;N/A
01.235.622/0001-61;2020-12-31;1;Imóveis para venda em construção;Costa Mare;Obra foi replanejada e teve o prazo prorrogado por estratégia comercial.;N/A
01.235.622/0001-61;2020-12-31;1;Imóveis para venda em construção;Iluminato;Atraso em função do COVID-19 que interrompeu o desmonte de rocha. Zona altamente residencial.;Andamento físico lento para cobrança de parcelas pela construtora
01.235.622/0001-61;2020-12-31;1;Imóveis para venda em construção;Highlight e Spotlight - Jardim Botafogo;N/A;N/A
01.235.622/0001-61;2020-12-31;1;Imóveis para venda em construção;Icono Parque;Terminalidade da fachada e embasamento demandou mais tempo que o previsto.;N/A
01.235.622/0001-61;2020-12-31;1;Imóveis para venda em construção;Highline;N/A;Ocorreram modificações de projetos e reajustes além do esperado em alguns materiais   
01.235.622/0001-61;2020-12-31;1;Imóveis para venda em construção;Hub - Coliving;Montagem da fachada demandou mais tempo que o previsto.;N/A
01.235.622/0001-61;2020-12-31;1;Imóveis para venda em construção;Maison Laranjeiras;Obra adiantada;N/A
01.235.622/0001-61;2020-12-31;1;Imóveis para venda em construção;Tijuca All Ways;N/A;N/A
01.235.622/0001-61;2020-12-31;1;Imóveis para venda em construção;Aretê - Toriba 1;N/A;N/A
01.235.622/0001-61;2020-12-31;1;Imóveis para venda em construção;Aretê - Peninsula Norte;Atraso na liberação dos terrenos pela infraestrutura e liberação tardia do inicio da quadra 20 em virtude de liberação da licença de obra;N/A
01.235.622/0001-61;2020-12-31;1;Imóveis para venda em construção;The Gallery;Atraso na contratação de alguns serviços;N/A
03.683.056/0001-86;2020-03-31;1;Imóveis para renda em construção;Edifício Alameda Santos;Evolução está de acordo com o previsto;Orçamento e cronograma de obras ainda estão em processo de elaboração. Os custos mencionados em 1.1.2.2.1 se referem a gastos iniciais com elaboração de projeto.
03.683.056/0001-86;2020-06-30;1;Imóveis para renda em construção;Edifício Alameda Santos;Evolução está de acordo com o previsto;Orçamento e cronograma de obras ainda estão em processo de elaboração. Os custos mencionados em 1.1.2.2.1 se referem a gastos iniciais com elaboração de projeto e execução inicial da obra.
03.683.056/0001-86;2020-09-30;1;Imóveis para renda em construção;Edifício Alameda Santos;Evolução está de acordo com o previsto;Orçamento e cronograma de obras ainda estão em processo de elaboração. Os custos mencionados em 1.1.2.2.1 se referem a gastos iniciais com elaboração de projeto e preparação para obras.
03.683.056/0001-86;2020-12-31;1;Imóveis para renda em construção;Edifício Alameda Santos;Evolução está de acordo com o previsto;Orçamento e cronograma de obras ainda estão em processo de elaboração. Os custos mencionados em 1.1.2.2.1 se referem a gastos iniciais com elaboração de projeto e preparação para obras.
03.855.441/0001-63;2020-03-31;1;Imóveis para renda em construção;Laboratório de Fluidos;NA;NA
08.417.532/0001-30;2020-03-31;1;Imóveis para renda em construção;Expansão Lubrax;NA;NA
08.417.532/0001-30;2020-06-30;1;Imóveis para renda em construção;Expansão Lubrax;NA;NA
08.417.532/0001-30;2020-09-30;1;Imóveis para renda em construção;Expansão Lubrax;NA;NA
08.417.532/0001-30;2020-12-31;1;Imóveis para renda em construção;Expansão Lubrax;NA;NA
09.150.967/0001-24;2020-03-31;1;Imóveis para venda em construção;N/A;N/A;N/A
09.150.967/0001-24;2020-03-31;1;Imóveis para renda em construção;Benteler;COVID e chuvas;
09.150.967/0001-24;2020-06-30;1;Imóveis para renda em construção;Benteler;COVID e chuvas;
09.150.967/0001-24;2020-09-30;1;Imóveis para renda em construção;Benteler;COVID e chuvas;
11.044.355/0001-07;2020-06-30;1;Imóveis para renda em construção;Power Shopping Centerminas;O andamento das atividades são planejadas de acordo com premissas de receitas, cujos valores estimados não aconteceram conforme previsto, fato que acarretou o atraso no andamento físico da obra.;Aumento do custo indireto, devido ao aumento no prazo de execução.
11.044.355/0001-07;2020-09-30;1;Imóveis para renda em construção;Power Shopping Centerminas;O andamento das atividades são planejadas de acordo com premissas de receitas, cujos valores estimados não aconteceram conforme previsto, fato que acarretou o atraso no andamento físico da obra.;Aumento do custo indireto, devido ao aumento no prazo de execução.
11.044.355/0001-07;2020-12-31;2;Imóveis para renda em construção;Power Shopping Centerminas;O andamento das atividades são planejadas de acordo com premissas de receitas, cujos valores estimados não aconteceram conforme previsto, fato que acarretou o atraso no andamento físico da obra.;Aumento do custo indireto, devido ao aumento no prazo de execução.
12.681.340/0001-04;2020-03-31;1;Imóveis para renda em construção;Ag. Raposo;Obras em finalização.;não há
12.681.340/0001-04;2020-06-30;1;Imóveis para renda em construção;Ag. Raposo;Obras em finalização.;não há
12.681.340/0001-04;2020-09-30;1;Imóveis para renda em construção;Ag. Raposo;Obras em finalização.;não há
12.681.340/0001-04;2020-12-31;1;Imóveis para renda em construção;Ag. Raposo;Obras em finalização.;não há
12.989.974/0001-29;2020-03-31;2;Imóveis para renda em construção;Pátio da Marítima Torre II;O início da construção pelo incorporador depende de condições mercadológicas ;O FII PM não arca com custo de construção.
12.989.974/0001-29;2020-03-31;2;Imóveis para venda em construção;Porto Vida Residencial;A obra encontra-se paralisada e o cronograma sob revisão.;O FII PM não arca com custo de construção.
12.989.974/0001-29;2020-03-31;2;Imóveis para renda em construção;Porto Vista;A obra encontra-se paralisada e o cronograma sob revisão.;O FII PM não arca com custo de construção.
12.989.974/0001-29;2020-06-30;1;Imóveis para renda em construção;Porto Vista;A obra encontra-se paralisada e o cronograma sob revisão.;O FII PM não arca com custo de construção.
12.989.974/0001-29;2020-06-30;1;Imóveis para renda em construção;Pátio da Marítima Torre II;O início da construção pelo incorporador depende de condições mercadológicas ;O FII PM não arca com custo de construção.
12.989.974/0001-29;2020-06-30;1;Imóveis para venda em construção;Porto Vida Residencial;A obra encontra-se paralisada e o cronograma sob revisão.;O FII PM não arca com custo de construção.
12.989.974/0001-29;2020-09-30;1;Imóveis para venda em construção;Porto Vida Residencial;A obra encontra-se paralisada e o cronograma sob revisão.;O FII PM não arca com custo de construção.
12.989.974/0001-29;2020-09-30;1;Imóveis para renda em construção;Porto Vista;A obra encontra-se paralisada e o cronograma sob revisão.;O FII PM não arca com custo de construção.
12.989.974/0001-29;2020-09-30;1;Imóveis para renda em construção;Pátio da Marítima Torre II;O início da construção pelo incorporador depende de condições mercadológicas ;O FII PM não arca com custo de construção.
12.989.974/0001-29;2020-12-31;2;Imóveis para renda em construção;Pátio da Marítima Torre II;O início da construção pelo incorporador depende de condições mercadológicas ;O FII PM não arca com custo de construção.
12.989.974/0001-29;2020-12-31;2;Imóveis para venda em construção;Porto Vida Residencial;A obra encontra-se paralisada e o cronograma sob revisão.;O FII PM não arca com custo de construção.
12.989.974/0001-29;2020-12-31;2;Imóveis para renda em construção;Porto Vista;A obra encontra-se paralisada e o cronograma sob revisão.;O FII PM não arca com custo de construção.
13.320.290/0001-00;2020-06-30;1;Imóveis para renda em construção;R. Leopoldo C AP 321, Sao Paulo-SP;32506000;32506000
13.320.290/0001-00;2020-06-30;1;Imóveis para renda em construção;R. Leopoldo C AP 311, Sao Paulo-SP;15474748;15474748
13.320.290/0001-00;2020-09-30;1;Imóveis para renda em construção;R. Leopoldo C AP 321, Sao Paulo-SP;;
13.320.290/0001-00;2020-09-30;1;Imóveis para renda em construção;R. Leopoldo C AP 311, Sao Paulo-SP;;
13.320.290/0001-00;2020-12-31;1;Imóveis para renda em construção;R. Leopoldo C AP 311, Sao Paulo-SP;;
13.320.290/0001-00;2020-12-31;1;Imóveis para renda em construção;R. Leopoldo C AP 321, Sao Paulo-SP;;
13.568.181/0001-07;2020-03-31;1;Imóveis para venda em construção;N/A;N/A;N/A
13.568.181/0001-07;2020-03-31;1;Imóveis para renda em construção;N/A;N/A;N/A
13.584.584/0001-31;2020-03-31;2;Imóveis para renda em construção;Não se aplica;Não se aplica;Não se aplica
13.584.584/0001-31;2020-06-30;1;Imóveis para renda em construção;Não se aplica;Não se aplica;Não se aplica
13.584.584/0001-31;2020-09-30;1;Imóveis para renda em construção;Não se aplica;Não se aplica;Não se aplica
13.584.584/0001-31;2020-12-31;1;Imóveis para renda em construção;Não se aplica;Não se aplica;Não se aplica
13.703.596/0001-38;2020-12-31;1;Imóveis para renda em construção;Não possui informação apresentada.;;
13.726.079/0001-84;2020-03-31;1;Imóveis para renda em construção;BELMIRA MARIM;Em análise;Não se aplica
13.726.079/0001-84;2020-09-30;1;Imóveis para renda em construção;BELMIRA MARIM;Em análise;Não se aplica
13.726.079/0001-84;2020-12-31;1;Imóveis para renda em construção;BELMIRA MARIM;Em análise;Não se aplica
14.609.653/0001-87;2020-06-30;1;Imóveis para renda em construção;JHSF Aeroporto;;
14.609.653/0001-87;2020-09-30;1;Imóveis para renda em construção;JHSF Aeroporto;;
14.609.653/0001-87;2020-12-31;1;Imóveis para renda em construção;JHSF Aeroporto;;
15.461.076/0001-91;2020-03-31;1;Imóveis para renda em construção;34 un salas comerciais do THE ONE OFFICE TOWER TAUBATÉ;;
15.461.076/0001-91;2020-03-31;1;Imóveis para renda em construção;14 unidades Tipo Villas no Hotel Resort  Txai Terravista.;;
15.461.076/0001-91;2020-03-31;1;Imóveis para renda em construção;51 Unidades  Master no Hotel;;
15.461.076/0001-91;2020-03-31;1;Imóveis para renda em construção;3 Centros de Convenções no Hotel;;
15.461.076/0001-91;2020-03-31;1;Imóveis para renda em construção;64 Unidades Standard no Hotel;;
15.461.076/0001-91;2020-03-31;1;Imóveis para renda em construção;02 unidades tipo bangalôs Hotel Resort Txai Terravista;;
15.461.076/0001-91;2020-06-30;1;Imóveis para renda em construção;14 unidades Tipo Villas no Hotel Resort  Txai Terravista.;;
15.461.076/0001-91;2020-06-30;1;Imóveis para renda em construção;34 un salas comerciais do THE ONE OFFICE TOWER TAUBATÉ;;
15.461.076/0001-91;2020-06-30;1;Imóveis para renda em construção;64 Unidades Standard no Hotel;;
15.461.076/0001-91;2020-06-30;1;Imóveis para renda em construção;02 unidades tipo bangalôs Hotel Resort Txai Terravista;;
15.461.076/0001-91;2020-06-30;1;Imóveis para renda em construção;51 Unidades  Master no Hotel;;
15.461.076/0001-91;2020-06-30;1;Imóveis para renda em construção;3 Centros de Convenções no Hotel;;
15.461.076/0001-91;2020-09-30;1;Imóveis para renda em construção;14 unidades Tipo Villas no Hotel Resort  Txai Terravista.;;
15.461.076/0001-91;2020-09-30;1;Imóveis para renda em construção;02 unidades tipo bangalôs Hotel Resort Txai Terravista;;
15.461.076/0001-91;2020-09-30;1;Imóveis para renda em construção;64 Unidades Standard no Hotel;;
15.461.076/0001-91;2020-09-30;1;Imóveis para renda em construção;51 Unidades  Master no Hotel;;
15.461.076/0001-91;2020-09-30;1;Imóveis para renda em construção;34 un salas comerciais do THE ONE OFFICE TOWER TAUBATÉ;;
15.461.076/0001-91;2020-09-30;1;Imóveis para renda em construção;3 Centros de Convenções no Hotel;;
15.461.076/0001-91;2020-12-31;1;Imóveis para renda em construção;14 unidades Tipo Villas no Hotel Resort  Txai Terravista.;;
15.461.076/0001-91;2020-12-31;1;Imóveis para renda em construção;02 unidades tipo bangalôs Hotel Resort Txai Terravista;;
15.461.076/0001-91;2020-12-31;1;Imóveis para renda em construção;64 Unidades Standard no Hotel;;
15.461.076/0001-91;2020-12-31;1;Imóveis para renda em construção;3 Centros de Convenções no Hotel;;
15.461.076/0001-91;2020-12-31;1;Imóveis para renda em construção;34 un salas comerciais do THE ONE OFFICE TOWER TAUBATÉ;;
15.461.076/0001-91;2020-12-31;1;Imóveis para renda em construção;51 Unidades  Master no Hotel;;
15.576.907/0001-70;2020-03-31;1;Imóveis para renda em construção;Estrada do Campo Limpo;N/A;N/A
